filter.age,filter.sex,asymptomatic,mild,severe,hospital,icu,home_ifr,hospital_ifr,icu_ifr
0-4,male,0.456,0.5329999999999999,0.010075350567964566,0.0009103479272531931,9.10347927253193e-05,1.4301504782361033e-05,0.0,0.0
0-4,female,0.456,0.5329999999999999,0.01100000000000012,0.0,0.0,0.0,0.0,0.0
5-9,male,0.456,0.5329999999999999,0.01100000000000012,0.0,0.0,0.0,0.0,0.0
5-9,female,0.456,0.5329999999999999,0.010644254774235062,0.00035574522576505946,3.557452257650595e-05,0.0,7.338230952493078e-06,7.338230952493078e-06
10-14,male,0.41200000000000003,0.569,0.018346772570814535,0.000653227429185483,6.532274291854829e-05,0.0,1.472364985703255e-05,1.472364985703255e-05
10-14,female,0.41200000000000003,0.569,0.018562065838719184,0.00043793416128083505,4.3793416128083494e-05,0.0,7.743090403019806e-06,7.743090403019806e-06
15-19,male,0.41200000000000003,0.569,0.017970920214213065,0.0010290797857869522,0.00010290797857869523,0.0,3.986693306453814e-05,3.986693306453814e-05
15-19,female,0.41200000000000003,0.569,0.018123549769675416,0.0008764502303245993,8.764502303245994e-05,0.0,3.370088871412244e-05,3.370088871412244e-05
20-24,male,0.37,0.597,0.03139004630040553,0.0016099536995944983,0.0002440012421623782,0.0,0.00011305693337573954,0.00011305693337573954
20-24,female,0.37,0.597,0.031136505574080084,0.001863494425919945,0.0002347037570356561,0.0,7.47005428837545e-05,7.47005428837545e-05
25-29,male,0.37,0.597,0.03092705402769248,0.002072945972307551,0.0004880961445491839,0.0,0.0002122901776569243,0.00017288083539624265
25-29,female,0.37,0.597,0.030171903591117072,0.0028280964088829587,0.0002977773201157717,0.0,0.00011667424973677628,9.502746995791579e-05
30-34,male,0.332,0.614,0.05052263358346031,0.0034773664165396265,0.0008869947636242171,0.0,0.0003374805623831824,0.00023741835467112893
30-34,female,0.332,0.614,0.05004102269441439,0.003958977305585542,0.0005188547134938674,0.0,0.0002487764835754895,0.00017481606231408068
35-39,male,0.332,0.614,0.0464286910002968,0.007548588432731715,0.0022447750689629144,2.2720566971425815e-05,0.0005278248274048561,0.0004066715054565257
35-39,female,0.332,0.614,0.04856758127951174,0.005202788163932968,0.0007451333081374033,0.00022963055655523336,0.00018322644589734125,0.00014115396590087958
40-44,male,0.29600000000000004,0.616,0.07663145268290408,0.011336737664476,0.003451519728411391,3.180965261987784e-05,0.0013504568535060123,0.0009928438769953264
40-44,female,0.29600000000000004,0.616,0.08032643623417844,0.007439172825682418,0.0012764848867115566,0.00023439094013911127,0.0005702809490890824,0.00041929271282361213
45-49,male,0.29600000000000004,0.616,0.0724999400288619,0.015377107868111367,0.0051146425577440185,0.00012295210302671315,0.0020228167540846426,0.001442533301366653
45-49,female,0.29600000000000004,0.616,0.07879765364310753,0.008578809999958322,0.001667818574345404,0.0006235363569341124,0.0007593218257414901,0.0005414898705882469
50-54,male,0.265,0.602,0.11113207717995757,0.020669722395180015,0.006295250317330295,0.0011982004248624176,0.002920428393230643,0.002110503971473939
50-54,female,0.265,0.602,0.12004055841392307,0.012293689414115834,0.0025651536594283163,0.000665752171961098,0.0015766987347259579,0.0011394994981773598
55-59,male,0.265,0.602,0.0978050051589763,0.03342274648677696,0.011277707905188335,0.0017722483542467512,0.007081362729931255,0.004900395493884692
55-59,female,0.265,0.602,0.11461995428748553,0.016778271306838226,0.003257636787626565,0.0016017744056762474,0.0024566844032965942,0.0017004018181093132
60-64,male,0.23800000000000002,0.5710000000000001,0.1419017474943075,0.045219310703434774,0.013628712146084628,0.003878941802257683,0.010927979829982087,0.006059838578875059
60-64,female,0.23800000000000002,0.5710000000000001,0.16477888977523125,0.02478846606278365,0.0045118704751482604,0.0014326441619850587,0.0057551784995168035,0.0031905620120532443
65-69,male,0.23800000000000002,0.5710000000000001,0.08039039562746707,0.10410153935732902,0.02492555095849609,0.006508065015203865,0.029288347161590577,0.012894860195709672
65-69,female,0.23800000000000002,0.5710000000000001,0.1309498491026565,0.056966465378423314,0.00883149746943887,0.0030836855189201396,0.014615616718102676,0.00643024773910123
70-74,male,0.214,0.523,0.10712028879749606,0.150003380132246,0.026968481119119217,0.005876331070257938,0.048050954564286125,0.015025126751500932
70-74,female,0.214,0.523,0.17937138879853687,0.07947125428497046,0.007961672395230261,0.004157356916492695,0.021804310166754996,0.00681167629038663
75-79,male,0.214,0.523,0.004042885941082548,0.2431483275856377,0.02766230180231704,0.01580878647327976,0.07793649130251727,0.0140721233027318
75-79,female,0.214,0.523,0.12168969270302556,0.13583145019665713,0.007619108593025347,0.005478857100317328,0.04179732115461506,0.007515244905333241
80-84,male,0.192,0.461,-0.052104358183126046,0.37624720584238663,0.010493793277158329,0.022857152340739446,0.1312247573299112,0.010226684262397317
80-84,female,0.192,0.461,0.10747034137949604,0.2250047819100662,0.005475496471348971,0.014524876710437779,0.06761638748583926,0.005215440247894596
85-89,male,0.192,0.461,-0.2573490658376648,0.5742188225167959,0.013600773946794823,0.03013024332086894,0.20249888674289554,0.006364668688514779
85-89,female,0.192,0.461,-0.021488843364189596,0.3426419043690556,0.008115712866389894,0.02584693899513401,0.10561190180513617,0.003276688571876145
90-94,male,0.192,0.461,-0.41396996301280053,0.7025783620507117,0.016641059309548494,0.05839160096208888,0.2834706925752982,0.006053632242458629
90-94,female,0.192,0.461,-0.20821807165776945,0.47740916562360064,0.011307769594377237,0.07780890603416886,0.14414695886673104,0.0030761577666436313
95-99,male,0.192,0.461,-0.41338143353962153,0.7463120100595314,0.017676921313914004,0.014069423480090156,0.30204839099695346,0.006648883172719237
95-99,female,0.192,0.461,-0.1903028465467961,0.49830257536763145,0.01180264459979908,0.03900027117916468,0.15620533593568678,0.0034358080693896588
